method,path,auth_required,allow_usc,allowed_exe_paths,handler,source_file,source_line,source_url
POST,/api/hid/events/send_shortcut,true,true,[],HidApi.__events_send_shortcut_handler,kvmd/apps/kvmd/api/hid.py,293,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L293
GET,/api/hid/keymaps,true,true,[],HidApi.__keymaps_handler,kvmd/apps/kvmd/api/hid.py,152,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L152
POST,/api/hid/print,true,true,[],HidApi.__print_handler,kvmd/apps/kvmd/api/hid.py,156,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L156
POST,/api/hid/reset,true,true,[],HidApi.__reset_handler,kvmd/apps/kvmd/api/hid.py,132,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L132
POST,/api/hid/set_connected,true,true,[],HidApi.__set_connected_handler,kvmd/apps/kvmd/api/hid.py,127,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L127
POST,/api/hid/set_jiggler_schedule,true,true,[],HidApi.__set_jiggler_schedule_handler,kvmd/apps/kvmd/api/hid.py,118,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L118
POST,/api/hid/set_params,true,true,[],HidApi.__set_params_handler,kvmd/apps/kvmd/api/hid.py,104,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/hid.py#L104
GET,/api/info,true,true,[],InfoApi.__common_state_handler,kvmd/apps/kvmd/api/info.py,41,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/info.py#L41
POST,/api/init/change_password,true,true,[],InitApi.__change_password_handler,kvmd/apps/kvmd/api/init.py,77,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/init.py#L77
GET,/api/init/init,false,true,[],InitApi.__init_handler,kvmd/apps/kvmd/api/init.py,50,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/init.py#L50
